App_ID,App_Usage,Time_period_Start_time,Time_period_End_Time,Duration_Usage_Period_Hours,Percentage_Use,Date_Time,Background_Traffic,Internet_Traffic,Cache_Size,App_Data_Size,Date_Time_Foreign_ID
e9cb7c3c-4c65-4ad0-868a-abc805dc87d5,12,2019-01-19 17:25:27,2019-01-20 16:25:27,23.0,3,2019-01-19 17:25:27,4079,1198,269,1981,014b92a481ae8ca75faf139634611ed8c4abde81508ac0805fa9b982d3a593b2
fe399abf-91c4-4242-a922-2ca66c28de93,50,2024-04-29 23:19:47,2024-04-30 15:19:47,16.0,87,2024-04-29 23:19:47,1454,2062,411,234,e23b09e81e6397e025e5b0ce54eefc19eb125d62b0eaa20c45d6709e5c07a9a9
7410d1b3-f9ce-42ac-9bef-37e51fd6b1b5,7,2021-10-15 04:32:02,2021-10-15 20:32:02,16.0,6,2021-10-15 04:32:02,4393,2346,76,1524,f29994a73033026e00cf9b036e5539f972377d2d57706b4a93dd5c5d327dd1e7
b1977c1c-b447-49c2-8d91-fa3e5f229920,97,2024-09-15 06:13:46,2024-09-15 10:13:46,4.0,41,2024-09-15 06:13:46,1135,9976,252,785,c465465fc2440bc0d375537d502f0c0897156b81d1c6ffb2f9ada45e12b68774
172152f2-396e-4567-b7d1-64f30f50ae40,39,2018-03-14 11:31:48,2018-03-15 11:31:48,24.0,84,2018-03-14 11:31:48,3714,3463,53,1894,bfa60cd95a9ef1d7bf1f3e9d85741a10cecf1eabccbfdd0b721926ccb38a2e2d
8f18af59-213f-4740-8d4d-a6a4b4fe84b9,23,2016-04-19 07:10:25,2016-04-20 04:10:25,21.0,32,2016-04-19 07:10:25,2561,6402,56,1590,baab724f17c153bb3e4fd361659fb542363187e9259111e2ec27707f3e743bfe
edcfcbf6-a4a0-4861-8f6a-5fbbd263ed47,65,2024-05-31 02:44:29,2024-05-31 12:44:29,10.0,89,2024-05-31 02:44:29,2611,7001,301,230,6265a9a5e5d7aa0904a374d13176053ec15e6bceec0619913e1f239f58de86a1
6271a3b2-b4ba-491d-8480-d85bd4c409b3,82,2017-12-09 05:38:02,2017-12-09 07:38:02,2.0,87,2017-12-09 05:38:02,3443,2254,120,1196,adb95dc4969e3b29ab4513f0e3242d8c47b1f2065b5108d6d41eb54b3f77f005
4244165e-4573-4aae-93da-a1e875b07937,80,2017-08-22 19:19:16,2017-08-23 14:19:16,19.0,50,2017-08-22 19:19:16,2430,8791,497,837,f3f7fc26df3318f22c21f0f7d675661e96645d1666d0c4147eb6c1aa0f52fb7a
f91856c4-96fe-4329-ae68-5bfa7da9a4af,50,2015-02-26 03:25:54,2015-02-26 20:25:54,17.0,27,2015-02-26 03:25:54,1955,7211,66,743,4db776bec357daa1c0b18ee9adb0fb742c5d6b1d432da224df5cab53cbfa23e0
847a08d6-489d-4500-96a2-e5d79ade9ed2,26,2024-11-18 12:05:33,2024-11-18 14:05:33,2.0,85,2024-11-18 12:05:33,3178,1018,151,709,4b01a7e8e5ec9930966b8e622f4cdc7048e3dd50a1fb3317caa1f649be4df7d1
d1901113-4f26-4ac4-954d-0363eb09681d,42,2017-09-28 09:20:14,2017-09-29 06:20:14,21.0,54,2017-09-28 09:20:14,4430,7430,97,1941,13501f9c44acd2b92dca9c175ad96ebf120ef56b7d920ba1a6d1fd76cfd615fc
20d2dbde-7e19-4db4-b77b-c7033c2a4ddd,21,2018-08-19 19:51:07,2018-08-20 12:51:07,17.0,96,2018-08-19 19:51:07,2549,4349,130,1119,c3028c644eebdeb74d1b5eac241e101a937d22d7187ffc4d581e6b293459b2f7
496e7ca7-2aef-4087-8395-73df2e84d0a4,63,2017-05-23 14:49:39,2017-05-23 18:49:39,4.0,97,2017-05-23 14:49:39,1025,7020,104,1278,14546e260a47286d7af44e96ce08c4a60665bf944e3dd02e6ec483e269e8dbbd
