Log_ID,Account_ID,Agent_ID,Institute_ID,Institute_Name,Issue_Type,Description,Date_Issued,Date_Resolved,Duration_to_Resolve,Region,City,Foreign_Issued_Date_ID,Foreign_Resolved_Date_ID
f43f76e2-0969-4d4b-8a1a-92982543f6c6,95d19873-091e-4559-a7cd-4aae971f3841,a796eb98-eb70-4a85-a08d-2e841440f09d,0629df69-4f16-4b16-8032-2e960c7800ae,Ecobank,Network Issue,Relationship establish soon accept quality director respond close coach again.,2015-12-06 20:34:55,2015-12-07 09:34:55,13.0,West,Yaounde,56bd319e1cb0d3f9f2d825c3ad4de7bd5fb246f0c4be6a04a808e8a2bd0b1178,740781e6de858e9816908524525a44d84355d3b390c0d69261561c696ce17191
4d3f80ed-4c51-42f8-9ccc-625dc24a299b,75c79bc1-bdf8-488a-a234-92529ff5b222,b891ec77-7605-4537-a6f4-ee446f5532f5,b91dd0c1-8b9e-4e96-850d-936a3e8d4060,Camtel,Service Request,Bring rock who at want where else black somebody.,2024-01-20 03:08:07,2024-01-20 15:08:07,12.0,Southwest,Garoua,1c3783c9b371c23f9291b7df078e51d8a681592bd07e150437131c67661cadd5,1e21ac36288834d5664e1cf403dafd4759a0bdca1a7b260aab566bb1aa3d58f9
41abd1ac-73a3-4511-901f-96c9b046d97c,9744731c-127c-4e01-9380-ecbf2434e537,c5dc4c9f-c07b-456f-b27c-c72275922e99,6977752c-7aa4-444a-8aa0-4441ffdf854b,Camtel,Billing Issue,Store reduce prevent by your third statement suddenly above name.,2019-12-23 04:58:26,2019-12-23 06:58:26,2.0,South,Limbe,24bbdbce7d6e76c1e68671a52d014aed38cb962ca360be696af1eb96428377b2,89703fba584c8a581bf9e34d687ec41219255242690fb97a7632517bead9f203
2b1fd17d-c6c4-49bb-9f32-3e66b2cd482d,97803094-a0e7-4472-917f-d0f1be0c3e28,6b336afb-9f62-4ddc-a60f-0f3e3060098b,fd7bce96-193f-4d37-a87e-6caf3870bb05,Camtel,Service Request,It season must light affect again behind full lay price card develop.,2022-09-11 09:50:25,2022-09-12 01:50:25,16.0,Central,Yaounde,d0cbaf01b834d05aef4a0a12014e66a968394e96ff62e70ae1fc711a6d3774d6,8c9dc556b8632e0631fd0ae29c1b0a5533e40c6bbff75dcd893ffb061c978641
592d726c-fbb1-4fa8-ad9b-a4c158879b3e,4ba1d45e-47de-452f-ad56-1ff52586e2c2,5103f6f4-0d9c-4489-bfe1-cdba9205eabb,6e13e1f8-3557-4b59-9a14-03d098434fa5,Camtel,Billing Issue,Place full area hospital in list several look guess operation mother.,2017-12-12 22:25:50,2017-12-13 07:25:50,9.0,Littoral,Douala,d1fe0b120b54a6b7ac9c674714dc75daba461710ef9ae7d8f1b3fb9ba3324554,49f65e7d9ad0634c478269b2cf08b8a4f6027d88b856422547ffb5a7740ea94f
773148de-b73c-4b7b-a164-52d29da4ab89,1ae74565-3815-4902-b04d-bd7608e85300,8b023d5e-b247-44cb-9233-78b31a448b0b,7c6f7ca2-f641-4595-8c1c-653e0b32d5ea,UBA,Service Request,Wife human technology floor structure laugh thing threat change before never economic.,2020-04-07 08:10:17,2020-04-07 13:10:17,5.0,Southwest,Ebolowa,71ce7a08dd005d512c56f4e581a10bbd51b40bea706673438ce0e08a91c02f9d,cf9cbc41f9bb8cc04218114ab922cf431a5d66b8d3438035354d170ab88e6dba
7958dbcc-9878-4179-88d9-8f37359f238d,ad7863c0-a10d-4626-b914-e4bde9b22a1a,027042c4-eb0a-4b9e-926f-01407f9acda2,2938e8c8-b6eb-4511-a5df-431135bda6cd,Camtel,Service Request,Heart watch reduce try friend American we couple family most main group.,2023-02-03 06:52:04,2023-02-03 10:52:04,4.0,Southwest,Limbe,a864f23388272487a2a5fea95bb6ebb5a4ce8eedecf280a5b845dc854070cebb,31918a53fec92441c7293c7cac46cfa1a49ebb6060a8dd822c997fe54ef324c7
acc8b554-a7fd-4783-bb2e-8598885539ee,cfafe5d4-7cd5-4773-94e1-7f8954508bda,e434d3af-68a9-4b2c-b7dd-6b233958b15d,4dcfa9e4-7260-49a5-8977-d8df538193b4,ORANGE,Service Request,Tough official citizen structure more against fast.,2015-03-19 04:26:03,2015-03-19 06:26:03,2.0,Northwest,Bertoua,3f2d95b2eb835f515332665353b95012f422f97c028a76d76c28f3e7416ce100,de4f834a4a150836e9b568f77a87ae2c1a46d88ae68a353bc71df1d098756c84
f1d2415d-51a3-4c49-825c-af30c340d7d0,24466f7f-8c30-4889-9621-d8f9a0df25bd,0af5b7b7-9837-43fc-821e-a4e1739412aa,25aa9b2e-5cb5-486a-8d06-3b45c6a9dcb7,UBA,Network Issue,Baby garden head defense half evidence could among test federal.,2019-07-21 07:18:47,2019-07-22 04:18:47,21.0,Central,Yaounde,19d5bb18cf091c7ac913481053ab5e4d88a662e8e5f4cbde9aaac7a20278d7e8,2d91f661d810d24afae331095c12fe160a469255bb068f5c35a85a95f910099d
df46d329-4baa-48e0-b2c4-4cbcc80c61e6,7a7bcae4-48e5-49ba-9201-1d62c8bed0c1,a3248cd0-f290-4d29-b301-ba03aaf82f06,c650b042-a70f-4aa9-a222-f554cf8acdf5,MTN,Service Request,Leave far edge technology TV ever.,2023-05-06 04:37:34,2023-05-06 21:37:34,17.0,Southwest,Garoua,3f544653a6b2f1306510dfaeaa776b1a0d15715fd7728ff8c31ae677918cd89a,968de40d15d0cb4ce14bc16f6b0c0e5d39d64941bf549183f0265f448925fe2a
