Time_ID,Date,DateTime,Year,Month,Day,Hour,Minute,Second,Quarter,WeekDay,WeekDayNum,WeekOfYear,DayOfYear,IsWeekend,Local_Season,Foreign_Season,TimeOfDay
a65c63a2dc52757f1a70468c02f8f0c45c97b6fa6a9e0b4455c65fba692e2145,2015-01-19,2015-01-19 05:21:45,2015,1,19,5,21,45,1,Monday,0,4,19,False,Dry,Spring,Night
27bdefd277df49891b1d27a1bdef71cc02ba39e43f1b9149111ffb56e2aaa992,2015-01-21,2015-01-21 00:17:29,2015,1,21,0,17,29,1,Wednesday,2,4,21,False,Dry,Spring,Night
f8333d2fb543b06121b54c351d6cf7e847215d055ef76a187cdf47888ba866aa,2015-01-21,2015-01-21 03:54:21,2015,1,21,3,54,21,1,Wednesday,2,4,21,False,Dry,Spring,Night
7c5fd1eb56897be3dcea2de0ca4e202e861a5ce58c290e6df9dda144bd87d4ac,2015-01-21,2015-01-21 06:02:10,2015,1,21,6,2,10,1,Wednesday,2,4,21,False,Dry,Spring,Morning
1d214f1d72719b67950a3e21cbba3769ebe55c1649ce687c3839c05ed84fae42,2015-01-21,2015-01-21 06:52:51,2015,1,21,6,52,51,1,Wednesday,2,4,21,False,Dry,Spring,Morning
1725222a2cd1a85490ea075545f9466e0d1717c0c833b6c9f424fb2dc624c2d6,2015-01-24,2015-01-24 10:52:46,2015,1,24,10,52,46,1,Saturday,5,4,24,True,Dry,Spring,Morning
2318abbffea811639fd7c238b926cdcab8b41b377eba6e17936552db88b59ac1,2015-01-24,2015-01-24 19:33:12,2015,1,24,19,33,12,1,Saturday,5,4,24,True,Dry,Spring,Evening
2b8269b8e8af6b71aaf7af98befbe46c77f260ebc23efa880d57fefd1e8cb4ab,2015-01-25,2015-01-25 07:54:12,2015,1,25,7,54,12,1,Sunday,6,4,25,True,Dry,Spring,Morning
d5b7d5e4a2ca656b0203ce1ad479638e2122fd3cf3beaa2080165ff139074176,2015-01-25,2015-01-25 20:57:39,2015,1,25,20,57,39,1,Sunday,6,4,25,True,Dry,Spring,Night
e890df3503a7f0979de95ea7e668eabb27989310c6777ec14522b71eea1c1b96,2015-01-26,2015-01-26 01:09:17,2015,1,26,1,9,17,1,Monday,0,5,26,False,Dry,Spring,Night
