Transaction_ID,Transaction_amount,Transaction_type,Channel,Source_account,Destination_account,Subscriber_ID,Transaction_status,Anomaly_score,Account_ID,Agent_ID,Time,Region,City,Time_Foreign_ID
1,903.76,other,agent,de4c1988-8175-4634-a85f-929f33f2e951,ced9299c-7344-41c3-9bcb-e74da5dd2667,3443f112-b879-4dd1-adab-b5952f301019,failed,0.1825401524457015,369e973f-e20a-48a5-beea-04408f503b45,b7155a56-d135-462e-bb02-795c9cc67671,2021-10-07 07:45:46,Littoral,Buea,75b991de8a520048105d59f7211213420f66fff9cfe0ccb415033bdef62a6f29
2,9428.38,bill_payment,agent,dcec6cf8-3996-4356-9b65-79b75836348c,9d59a6b9-4df4-4ab6-84df-969bd960c027,1c9365a7-de0e-4db7-b21b-12587506944b,successful,0.4683441411160935,f01b41c4-154f-446f-9501-7962ff698c17,a86172e5-5238-49b4-a2d5-a5e5661ce05b,2019-09-24 16:08:18,West,Garoua,bbe2623ae048c1bbf6f9e0c16d3bd0535ef2fbb521cd0d197dcca929e197de62
3,5418.79,money_transfer,agent,2a55f3be-4922-48cf-b23e-f182b1d484fa,f9636c14-44bf-4e56-9d48-3a0b78f4c7ab,8d6d8c07-a064-4ae2-9868-cb39535e7a62,successful,0.5908684335155591,32171f90-0846-4540-a83d-c3fc5cd0419b,17c57969-ffa6-4e81-afec-ad9ef709b91f,2020-09-29 23:52:44,North,Ngaoundere,30b1fdca74e31f17be90b8bd3de3ac4485dd38aefd542a796874aa8e7fc29507
4,9005.69,bill_payment,mobile_app,b9f627c6-ad82-4677-9d48-37866db39607,a1ac8d15-8bbe-48b1-92cb-fa090a56cea0,840077b8-a7d7-4c84-8b0d-ce6d69b7136b,successful,0.482172495866057,917f0ab4-df75-4060-aad9-5c4f73d69ec0,5a9292a1-1311-4ac4-ade9-145480bcb1e2,2016-11-25 05:56:54,Far North,Garoua,83163f3fa96eb1c33d8b11f2880d686f1539ffeae1bb719720c1f87bafa61b4e
5,6920.18,airtime_purchase,USSD,06dfbc76-04dc-4761-8703-907caba72d05,9e305b4e-0249-410d-947f-ee9d0efc5764,7ffb6482-e413-4228-a9cb-d3fe83f0a8f4,successful,0.9531586179944664,c12960e1-9899-4049-9e76-189bd9b393de,d5f32772-5bd1-45c4-b7bd-8b73bdc35900,2020-10-16 04:34:10,South,Bertoua,6c4601959d2990df560d3fe0b440e9b1410275e1d48c71ad365f23019d4dd0a4
6,9150.12,money_transfer,mobile_app,b118c879-7a59-4321-baf9-89a50ef9120d,6da71308-0822-44e2-8aaa-fac53cb9bab7,ba8d45cb-585b-4a1c-bde4-faec438465d4,successful,0.1779003856915683,4a11cf5c-7904-4d3e-a19c-957c17acf106,2f47078c-0d55-43e8-b339-a866471448cb,2015-09-28 12:24:47,South,Garoua,fb85d18e7110b2835e86913b8f52569976b79cd97166da5264bbfd3779180894
7,978.58,airtime_purchase,USSD,84b6e01f-012f-4e2c-aa0d-8634a0fb832a,ed59ac24-7d28-462b-b2f1-216eecfdbbcd,0be0d2d0-0c3a-4340-9caa-f55f724779fe,successful,0.9762145642412444,fe80121b-9f60-4e11-aad0-7c64f803bb7e,01ade5c4-4cad-4c76-a7bc-6bbc9d62b2b7,2019-09-18 04:58:45,Northwest,Ebolowa,d53afd16b3fbdde33ebf2e8eef107b9a606b8feb42686ce19a63a95c93e8c25e
8,8878.83,money_transfer,mobile_app,4f8cd57d-940c-4959-a9d6-01b98506f8bf,865a25d9-790a-4251-a2a0-6f82d70ff579,83892720-7214-4bbf-8ef6-5e2bf352f499,successful,0.7371920883004024,429dad8d-feb5-484c-b79a-7c628682799f,4ee00345-c0b4-4243-b5c7-f4a88662cb6f,2022-04-09 01:38:34,Southwest,Yaounde,b467bbf6282df5a32c8b59a401ff02632841cff0223b9402d416569cff3eb414
9,2146.14,money_transfer,USSD,f5c6c60a-0f5f-4559-830d-c235a9436857,93ea1f1b-7152-43cf-bc4c-8b110b388ea9,370f3cfb-f32a-4178-b5e4-6338788bf0b3,successful,0.498064011895642,13b8d4f8-3169-4e2a-82e3-ce6c5a248232,60cd8a48-a75a-4f4d-b593-dde15a5d24b6,2019-08-27 06:58:20,Littoral,Bafoussam,15a18a616aaf5d58835105d07b7da1194246b5b1c6a13fbe85269cb2583bf4d3
10,6309.55,money_transfer,USSD,82ece1fe-2577-4d53-9343-a9cf47418491,a3b08996-0bfa-47c2-bc78-4a3d9968ae95,3ccffd0f-c54f-4419-8b63-2bed5110fef5,successful,0.3440266124841967,d3db6731-c6a3-4255-8fe8-63a934b48c5a,3311843a-c49d-4543-8be7-54db37d60143,2020-12-07 13:06:36,East,Ebolowa,52c317bd0087a3173b1554d34bea781c383c9fa12f296954000c51791fc18eb5
11,1253.11,money_transfer,mobile_app,ae79594d-3daa-420b-82f8-388de23aff5c,b3fd0925-e415-4031-b588-f3b6129ff76a,72cbeba3-80e1-4c37-8d9a-b07a14ddd451,successful,0.587202208580777,57a5d7ab-3d65-4011-a2be-423d87b91585,d635a683-5230-4f46-9068-2e81e3ae076c,2020-05-14 23:35:35,East,Douala,e3543689c3a015df453b05e0e5b87c599fd83a39aaa9f2b3bb27e784449b83f6
12,4714.1,airtime_purchase,mobile_app,a1f1b88b-8494-4991-9979-d68823a52efa,2cd92cf6-4e57-4ca2-a9c7-17da98fe1e0c,68a37640-b409-4dae-baf0-a613b9cbaa3a,failed,0.6081026394259246,f3b8a331-2814-4120-8204-7b6cc6259762,a8af62a6-a551-4d84-8980-97c2b554e978,2017-09-30 18:14:02,South,Buea,81cd5a65302b8674c3fbbe64762302fd73cf73efcc22a9664f4a07424e844c84
13,3233.14,money_transfer,USSD,362f3669-b392-416d-bcae-eb3e550a1816,fb928da2-5698-4269-a10e-c8c748704094,d3204415-8f32-4513-b1be-3d1bdb93ca89,failed,0.5487499088550049,935b56b7-b952-4b67-8a1b-c0f75407dfd6,1e02c0a6-4e7b-470e-8645-528cc59fa327,2024-01-24 22:31:56,Northwest,Bafoussam,7ed1b6ca5aa9f5f3d9f2dd29f9faa0cf9fc97075d6d6b0099eab568ec6d04668
14,2937.53,other,mobile_app,58f2d3e3-81a3-4832-b6e7-f17cfae50e23,d54cb58e-9114-45dd-8e3d-8ab3ac67ccba,67e62a26-bca0-4fa8-afd9-b6d6888d0aac,successful,0.8225543555288951,95c5f1f5-1587-462b-b693-b244a0ba70a8,5d7a5000-258e-4b07-98c6-8a591706c46b,2016-01-19 12:54:38,West,Yaounde,0d22cbe92378fe3a8f13b85ded090a4d4d1af0cffb2c5a50cf59122c53c3770a
15,3778.96,other,USSD,4bc6a30a-16bc-45be-98be-baf63b60e4be,bc7011ad-2bbd-4dee-8ace-6db5ca9dda48,2e6fac6f-d3b4-4e6f-bbff-05e125d236b7,successful,0.6015153746576585,ffbf912b-2402-4c26-a5d4-b8569b714d75,26e35f49-76c6-4cce-8b5a-4e87634e78af,2020-04-24 15:50:44,Littoral,Douala,ea7b9d0aacbf572cf1949164841034e97f4d83662b0cd8cb4ba113c03c5785b9
16,518.72,airtime_purchase,mobile_app,123c07c7-68b7-4f2e-ae5a-7729c54c9265,e787946e-6542-4628-883b-8a5e3af561a3,5cd31b43-d9c1-4928-801c-af9c9890c138,successful,0.120620758425305,d224deda-8c14-48e1-bf02-89814edda385,4dad2c16-6020-45de-907a-c28fd3cbe16b,2015-04-26 01:32:03,West,Bamenda,aa8742052e857986d772052e32bdfb7ae8e428d05089ad85ef5fa584d20d41bc
17,1676.42,bill_payment,agent,a9bbfe80-721f-457d-9621-31c2adfcb4d9,91826d6a-1d3c-4bca-a2f7-7b9346eba8b4,1f1fdedf-5764-44c4-a248-406f2c43d9dc,successful,0.9508392125931576,742ed50b-e567-417d-9edc-5231a8f33a9c,07b3308b-272d-4aad-a26b-c9fd7a249e70,2021-03-23 07:32:01,Littoral,Douala,9f4348159c7b0cedad7b29cf6c5bc920c157abbf96b10dc9e202ebb61cd27d9f
18,3683.97,other,agent,058a4829-c79f-4e4c-9677-0f2ce9d83fa0,0d1ab722-669b-4b73-8b84-c1080934096d,fc9aabaf-c607-4819-991d-ffc94f322b6d,successful,0.7256778753151322,cd004f77-7497-4c15-b87a-3eea9cb6059d,6892217c-415a-41aa-88cb-9d72167dc7c8,2015-01-19 08:42:19,West,Maroua,1174fa040ea8e458d3917cb6807fa2595a26ed958f2544c777a156bac6889cdf
19,8377.3,money_transfer,mobile_app,620c2f67-1867-4c77-9647-75ec4bb6e2ae,4d5ecefc-23d9-4aa0-a409-941b03c96878,e477205f-701a-4bb5-b0f3-b322effdbd59,successful,0.4929053664420341,22792b39-b7c7-4d98-9061-1fe07afb0504,56828e39-70a8-427d-8611-5b0c3d37a49a,2016-02-20 01:59:19,Adamaoua,Yaounde,4cd9a6d5cc66902e4308d9ae5c39294600b7e970a8587274d52a6300e8f0f05f
20,9905.85,airtime_purchase,agent,d51069c3-1c27-4c0c-881b-b2e777188151,2ccbdcea-0f9d-445c-9db7-3e86f1a433f1,f663b7d9-e0de-4d77-ae0b-a2dc7ef41c8d,successful,0.384890441100349,8f5d7354-085e-4ad7-8a3e-7c393c97a1e5,95fd1eb5-8d9f-4c81-8160-d5678e4312db,2024-03-25 07:58:08,East,Ebolowa,43109254d7ebdbf19167fd67591673a17b7cd2b543adc841940f431802e7dfb6
21,5603.4,other,agent,65c6b9cc-21b4-4ce9-bf02-3777b5610cba,ca71ca7e-9da5-4bc4-9ad5-b3723c8d96de,aaf8f579-2173-40bf-b8ff-ba728e4cb829,successful,0.0805808015465088,5b904d4d-1a00-40a7-8038-35542ab2fae6,798a8e62-6183-4de7-ba0a-1e4368d0e295,2019-06-15 04:58:53,Northwest,Limbe,aeac8dd62bd60c7377af189cc06a368e36e7c549675a43b9827e153d40c05183
22,9290.06,money_transfer,agent,5a8e5dd9-3c79-473b-991f-831d6d382bf2,90206293-6f75-487a-92f2-e25c4511fb10,f854568f-d0b6-4619-8323-d5eac3be3e07,successful,0.0713459327283784,6ee62fb2-0ca6-4629-bb74-f1e371e336bb,9592728e-8358-4942-be03-7a0b5fd6b999,2024-03-31 02:42:50,Far North,Ngaoundere,c395ce36c261eb57498704be3649572f02d0b84aae31ea27465f83b3cfb210a3
